ID,Price,Manufacturer,Year,Category,Leather,Fuel,Engine,Cylinders,Transmission,Drive,Doors,Color,Airbags,Km,Turbo,Origin
45654403,13328,LEXUS,2010,SUV,Yes,Hybrid,3.5,6.0,Automatic,4x4,4,Silver,12,186005,0,Japan
44731507,16621,CHEVROLET,2011,SUV,No,Petrol,3.0,6.0,Tiptronic,4x4,4,Black,8,192000,0,US
45774419,8467,HONDA,2006,Hatchback,No,Petrol,1.3,4.0,Variator,Front,4,Black,2,200000,0,Japan
45809263,11726,HONDA,2014,Hatchback,Yes,Petrol,1.3,4.0,Automatic,Front,4,Silver,4,91901,0,Japan
45802912,39493,HYUNDAI,2016,SUV,Yes,Diesel,2.0,4.0,Automatic,Front,4,White,4,160931,0,Korea
45756839,26657,LEXUS,2007,SUV,Yes,Petrol,3.5,6.0,Automatic,4x4,4,Silver,12,128500,0,Japan
45732604,59464,HYUNDAI,2016,SUV,Yes,Diesel,2.0,4.0,Automatic,Front,4,White,4,76000,0,Korea
45772281,7683,HYUNDAI,2016,Sedan,Yes,Petrol,1.8,4.0,Automatic,Front,4,Blue,12,121840,0,Korea
45797221,28382,HYUNDAI,2016,Sedan,Yes,Petrol,1.8,4.0,Automatic,Front,4,White,4,54317,0,Korea
45801686,18826,HYUNDAI,2012,Sedan,Yes,Petrol,1.6,4.0,Automatic,Front,4,Silver,4,112645,0,Korea
45168471,20698,TOYOTA,2012,Sedan,Yes,Hybrid,1.8,4.0,Automatic,Front,4,White,12,187000,0,Japan
45751951,17562,TOYOTA,2017,Sedan,Yes,Petrol,2.5,4.0,Automatic,Front,4,Black,12,39709,0,Japan
45814106,7840,FORD,2001,Minivan,No,Diesel,2.0,4.0,Manual,Front,2,White,0,230000,1,US
45782859,20385,MERCEDES-BENZ,2006,Sedan,Yes,Diesel,2.2,4.0,Tiptronic,Rear,4,Black,8,210000,1,Germany
45801525,14454,HYUNDAI,2011,Sedan,Yes,Petrol,1.6,4.0,Automatic,Front,4,Silver,4,158787,0,Korea
45768550,12074,TOYOTA,2009,SUV,Yes,Hybrid,3.3,6.0,Automatic,4x4,4,Blue,12,420550,0,Japan
45790136,6899,BMW,2000,SUV,Yes,LPG,4.4,8.0,Automatic,4x4,4,Silver,6,200000,0,Germany
45732374,23235,HYUNDAI,2011,SUV,Yes,Diesel,2.0,4.0,Automatic,Front,4,Grey,4,162000,0,Korea
45369569,51746,TOYOTA,2019,SUV,No,Petrol,2.0,4.0,Tiptronic,Front,4,Red,12,10200,0,Japan
45642526,7527,HONDA,2010,Hatchback,No,Hybrid,1.3,4.0,Automatic,Front,4,Black,4,158000,0,Japan
45801668,19121,HYUNDAI,2012,Sedan,Yes,Petrol,1.6,4.0,Automatic,Front,4,Silver,4,103490,0,Korea
45815051,24462,TOYOTA,2013,Sedan,Yes,Petrol,2.4,4.0,Automatic,Front,4,Blue,4,203200,0,Japan
45797488,45734,HYUNDAI,2016,Universal,Yes,Diesel,2.5,4.0,Automatic,Front,4,Black,4,61057,0,Korea
45667253,20165,VOLKSWAGEN,2016,Sedan,Yes,Petrol,1.4,4.0,Tiptronic,Front,4,Black,8,11200,1,Germany
45108412,21326,HYUNDAI,2014,Sedan,Yes,Hybrid,2.4,4.0,Tiptronic,Front,4,White,12,141000,0,Korea
45726453,15681,TOYOTA,2012,Hatchback,No,Hybrid,1.5,4.0,Variator,Front,4,Sky blue,8,128000,0,Japan
45732544,55390,HYUNDAI,2017,SUV,Yes,Diesel,2.0,4.0,Automatic,Front,4,Black,4,100734,0,Korea
